
867) Value  : 122.81466
868) Value  : 126.87158
869) Value  : 130.63985
870) Value  : 127.95026
871) Value  : 124.96021
872) Value  : 130.88587
873) Value  : 127.86071
874) Value  : 126.89251
875) Value  : 124.75132
876) Value  : 128.27327
877) Value  : 130.28922
878) Value  : 131.65005
879) Value  : 129.86466
880) Value  : 129.84406
881) Value  : 127.84531
882) Value  : 131.37598
883) Value  : 133.57359
884) Value  : 138.00319
885) Value  : 137.21383
886) Value  : 133.50537
887) Value  : 132.30527
888) Value  : 133.49190
889) Value  : 138.45802
890) Value  : 131.09747
891) Value  : 135.24181
892) Value  : 135.76620
893) Value  : 131.59383
894) Value  : 134.57438
895) Value  : 138.10138
896) Value  : 134.03797
897) Value  : 130.76160
898) Value  : 131.25163
899) Value  : 132.01850
900) Value  : 129.16320
901) Value  : 133.25093
902) Value  : 131.15026
903) Value  : 126.65489
904) Value  : 129.21115
905) Value  : 124.33696
906) Value  : 126.94824
907) Value  : 126.39391
908) Value  : 129.38890
909) Value  : 124.32622
910) Value  : 125.29355
911) Value  : 124.58170
912) Value  : 125.08736
913) Value  : 124.32579
914) Value  : 118.98665
915) Value  : 116.40416
916) Value  : 120.66676
917) Value  : 122.90835
918) Value  : 118.71107
919) Value  : 116.86745
920) Value  : 117.33771
921) Value  : 115.32192
922) Value  : 114.41893
923) Value  : 115.10336
924) Value  : 115.26535
925) Value  : 108.26533
926) Value  : 104.08025
927) Value  : 105.29165
928) Value  : 106.99744
929) Value  : 103.14062
930) Value  : 102.96202
931) Value  : 99.95441
932) Value  : 98.47557
933) Value  : 98.59206
934) Value  : 96.33038
935) Value  : 101.17393
936) Value  : 88.38644
937) Value  : 90.10385
938) Value  : 92.09222
939) Value  : 93.84904
940) Value  : 88.45898
941) Value  : 81.78691
942) Value  : 86.14256
943) Value  : 83.29473
944) Value  : 77.52715
945) Value  : 74.87973
946) Value  : 81.60347
947) Value  : 74.42113
948) Value  : 76.39593
949) Value  : 69.45769
950) Value  : 69.38448
951) Value  : 68.53758
952) Value  : 66.66108
953) Value  : 59.31199
954) Value  : 64.89030
955) Value  : 60.31051
956) Value  : 52.21112
957) Value  : 56.26735
958) Value  : 56.61747
959) Value  : 49.76912
960) Value  : 50.39685
961) Value  : 42.71511
962) Value  : 46.97761
963) Value  : 44.51236
964) Value  : 40.38944
965) Value  : 39.40639
966) Value  : 34.29266
967) Value  : 34.20783
968) Value  : 29.25746
969) Value  : 31.26779
970) Value  : 29.46129
971) Value  : 22.07307
972) Value  : 21.50656
973) Value  : 18.43510
974) Value  : 18.33429
975) Value  : 17.27158
976) Value  : 12.80277
977) Value  : 14.11685
978) Value  : 6.95066
979) Value  : 8.42305
980) Value  : 8.83731
981) Value  : -2.72236
982) Value  : -2.01623
983) Value  : -1.65616
984) Value  : -8.38028
985) Value  : -1.94484
986) Value  : -4.09860
987) Value  : -12.78145
988) Value  : -11.20590
989) Value  : -14.08733
990) Value  : -22.13448
991) Value  : -16.81640
992) Value  : -25.01674
993) Value  : -25.32079
994) Value  : -25.77996
995) Value  : -29.70220
996) Value  : -31.03747
997) Value  : -33.59539
998) Value  : -34.09209
999) Value  : -39.66921
1000) Value  : -36.43436
1001) Value  : -44.93059
1002) Value  : -40.58156
1003) Value  : -44.09530
1004) Value  : -51.75177
1005) Value  : -52.38272
1006) Value  : -52.39968
1007) Value  : -58.96901
1008) Value  : -58.53838
1009) Value  : -57.50464
1010) Value  : -56.90525
1011) Value  : -61.09700
1012) Value  : -63.66248
1013) Value  : -63.50961
1014) Value  : -73.07130
1015) Value  : -75.87275
1016) Value  : -73.92076
1017) Value  : -76.27083
1018) Value  : -75.82892
1019) Value  : -79.41144
1020) Value  : -82.11872
1021) Value  : -84.84135
1022) Value  : -82.30495
1023) Value  : -81.48559



0) Smooth : -108.13934
1) Smooth : -106.84009
2) Smooth : -105.59842
3) Smooth : -104.64171
4) Smooth : -103.28106
5) Smooth : -101.89838
6) Smooth : -100.17017
7) Smooth : -97.85031
8) Smooth : -95.83549
9) Smooth : -94.55836
10) Smooth : -93.17281
11) Smooth : -90.90684
12) Smooth : -89.09697
13) Smooth : -87.10002
14) Smooth : -85.42099
15) Smooth : -84.25391
16) Smooth : -83.02821
17) Smooth : -82.11427
18) Smooth : -80.79136
19) Smooth : -79.07798
20) Smooth : -77.71467
21) Smooth : -75.99802
22) Smooth : -74.23780
23) Smooth : -72.70997
24) Smooth : -71.00354
25) Smooth : -68.91132
26) Smooth : -66.50387
27) Smooth : -63.86141
28) Smooth : -61.62953
29) Smooth : -59.30981
30) Smooth : -56.99851
31) Smooth : -55.21814
32) Smooth : -53.12292
33) Smooth : -51.20017
34) Smooth : -49.31109
35) Smooth : -46.76511
36) Smooth : -44.54047
37) Smooth : -42.68989
38) Smooth : -39.96637
39) Smooth : -38.23773
40) Smooth : -36.19352
41) Smooth : -33.83986
42) Smooth : -32.28332
43) Smooth : -29.82401
44) Smooth : -27.05891
45) Smooth : -24.97770
46) Smooth : -23.28162
47) Smooth : -21.09145
48) Smooth : -19.49847
49) Smooth : -16.93314
50) Smooth : -13.90152
51) Smooth : -12.21328
52) Smooth : -9.51906
53) Smooth : -6.94823
54) Smooth : -5.22076
55) Smooth : -2.85421
